yourlist:M202109285BF3C56A578D7D6DFD1FC81EE5DA773020E3889	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q64279	Q64279	HAND1_MOUSE	reviewed	Heart- and neural crest derivatives-expressed protein 1 (Extraembryonic tissues, heart, autonomic nervous system and neural crest derivatives-expressed protein 1) (eHAND) (Helix-loop-helix transcription factor expressed in extraembryonic mesoderm and trophoblast) (Thing-1) (Th1)	Hand1 Ehand Hxt Thing1	Mus musculus (Mouse)	216
Q9JI44	Q9JI44	DMAP1_MOUSE	reviewed	DNA methyltransferase 1-associated protein 1 (DNMAP1) (DNMT1-associated protein 1) (MAT1-mediated transcriptional repressor)	Dmap1 Mmtr	Mus musculus (Mouse)	468
Q61066	Q61066	NR0B1_MOUSE	reviewed	Nuclear receptor subfamily 0 group B member 1 (Nuclear receptor DAX-1)	Nr0b1 Ahch Dax1	Mus musculus (Mouse)	472
O08584	O08584	KLF6_MOUSE	reviewed	Krueppel-like factor 6 (Core promoter element-binding protein)	Klf6 Copeb Cpbp	Mus musculus (Mouse)	283
Q8C0Y1	Q8C0Y1	TGIF2_MOUSE	reviewed	Homeobox protein TGIF2 (5'-TG-3'-interacting factor 2) (TGF-beta-induced transcription factor 2) (TGFB-induced factor 2)	Tgif2	Mus musculus (Mouse)	237
P38533	P38533	HSF2_MOUSE	reviewed	Heat shock factor protein 2 (HSF 2) (Heat shock transcription factor 2) (HSTF 2)	Hsf2	Mus musculus (Mouse)	535
P63139	P63139	NFYB_MOUSE	reviewed	Nuclear transcription factor Y subunit beta (CAAT box DNA-binding protein subunit B) (Nuclear transcription factor Y subunit B) (NF-YB)	Nfyb	Mus musculus (Mouse)	207
P70353	P70353	NFYC_MOUSE	reviewed	Nuclear transcription factor Y subunit gamma (CAAT box DNA-binding protein subunit C) (Nuclear transcription factor Y subunit C) (NF-YC)	Nfyc	Mus musculus (Mouse)	335
Q62431	Q62431	ARI3A_MOUSE	reviewed	AT-rich interactive domain-containing protein 3A (ARID domain-containing protein 3A) (B-cell regulator of IgH transcription) (Bright) (Dead ringer-like protein 1)	Arid3a Dri1 Dril1	Mus musculus (Mouse)	601
P42128	P42128	FOXK1_MOUSE	reviewed	Forkhead box protein K1 (Myocyte nuclear factor) (MNF)	Foxk1 Mnf	Mus musculus (Mouse)	719
P97471	P97471	SMAD4_MOUSE	reviewed	Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4 homolog) (SMAD family member 4) (SMAD 4) (Smad4)	Smad4 Dpc4 Madh4	Mus musculus (Mouse)	551
P53784	P53784	SOX3_MOUSE	reviewed	Transcription factor SOX-3	Sox3 Sox-3	Mus musculus (Mouse)	375
Q8CCE9	Q8CCE9	E4F1_MOUSE	reviewed	Transcription factor E4F1 (EC 2.3.2.27) (E4F transcription factor 1) (Putative E3 ubiquitin-protein ligase E4F1) (RING-type E3 ubiquitin transferase E4F1) (Transcription factor E4F) (Transcription factor phi AP3) (p120E4F)	E4f1	Mus musculus (Mouse)	783
Q61169	Q61169	GATA6_MOUSE	reviewed	Transcription factor GATA-6 (GATA-binding factor 6)	Gata6	Mus musculus (Mouse)	589
Q9ER74	Q9ER74	SALL1_MOUSE	reviewed	Sal-like protein 1 (Zinc finger protein Spalt-3) (Sal-3) (mSal-3)	Sall1 Sal3	Mus musculus (Mouse)	1322
Q8BX22	Q8BX22	SALL4_MOUSE	reviewed	Sal-like protein 4 (Zinc finger protein SALL4)	Sall4	Mus musculus (Mouse)	1067
O35906	O35906	SPIB_MOUSE	reviewed	Transcription factor Spi-B	Spib	Mus musculus (Mouse)	267
Q61060	Q61060	FOXD3_MOUSE	reviewed	Forkhead box protein D3 (HNF3/FH transcription factor genesis) (Hepatocyte nuclear factor 3 forkhead homolog 2) (HFH-2)	Foxd3 Hfh2	Mus musculus (Mouse)	465
P41163	P41163	ETV2_MOUSE	reviewed	ETS translocation variant 2 (Ets-related protein 71)	Etv2 Er71 Etsrp71	Mus musculus (Mouse)	335
O08750	O08750	NFIL3_MOUSE	reviewed	Nuclear factor interleukin-3-regulated protein (E4 promoter-binding protein 4) (Embryo implantation-related NFIL3/E4BP4-like transcription factor)	Nfil3 E4bp4	Mus musculus (Mouse)	462
P51448	P51448	RORA_MOUSE	reviewed	Nuclear receptor ROR-alpha (Nuclear receptor RZR-alpha) (Nuclear receptor subfamily 1 group F member 1) (RAR-related orphan receptor A) (Retinoid-related orphan receptor-alpha)	Rora Nr1f1 Rzra	Mus musculus (Mouse)	523
Q925J9	Q925J9	MED1_MOUSE	reviewed	Mediator of RNA polymerase II transcription subunit 1 (Mediator complex subunit 1) (Peroxisome proliferator-activated receptor-binding protein) (PBP) (PPAR-binding protein) (Thyroid hormone receptor-associated protein complex 220 kDa component) (Trap220) (Thyroid receptor-interacting protein 2) (TR-interacting protein 2) (TRIP-2)	Med1 Crsp210 Drip205 Pbp Pparbp Trap220 Trip2	Mus musculus (Mouse)	1575
A2AGH6	A2AGH6	MED12_MOUSE	reviewed	Mediator of RNA polymerase II transcription subunit 12 (Mediator complex subunit 12) (OPA-containing protein) (Thyroid hormone receptor-associated protein complex 230 kDa component) (Trap230) (Trinucleotide repeat-containing gene 11 protein)	Med12 Kiaa0192 Mopa Tnrc11 Trap230	Mus musculus (Mouse)	2190
Q60591	Q60591	NFAC2_MOUSE	reviewed	Nuclear factor of activated T-cells, cytoplasmic 2 (NF-ATc2) (NFATc2) (NFAT pre-existing subunit) (NF-ATp) (T-cell transcription factor NFAT1)	Nfatc2 Nfat1 Nfatp	Mus musculus (Mouse)	927
O08755	O08755	HNF6_MOUSE	reviewed	Hepatocyte nuclear factor 6 (HNF-6) (One cut domain family member 1) (One cut homeobox 1)	Onecut1 Hnf6 Hnf6a	Mus musculus (Mouse)	465
A2A9I7	A2A9I7	DMRTB_MOUSE	reviewed	Doublesex- and mab-3-related transcription factor B1 (Doublesex- and mab-3-related transcription factor 6)	Dmrtb1 Dmrt6	Mus musculus (Mouse)	359
Q9WV93	Q9WV93	HEY1_MOUSE	reviewed	Hairy/enhancer-of-split related with YRPW motif protein 1 (Hairy and enhancer of split-related protein 1) (HESR-1) (Hairy-related transcription factor 1) (HRT-1) (mHRT1)	Hey1 Herp2 Hesr1 Hrt1	Mus musculus (Mouse)	299
Q9QUS4	Q9QUS4	HEY2_MOUSE	reviewed	Hairy/enhancer-of-split related with YRPW motif protein 2 (HES-related repressor protein 2) (Hairy and enhancer of split-related protein 2) (HESR-2) (Hairy-related transcription factor 2) (HRT-2) (mHRT2) (Protein gridlock homolog)	Hey2 Chf1 Herp Herp1 Hesr2 Hrt2	Mus musculus (Mouse)	339
P46684	P46684	ZIC1_MOUSE	reviewed	Zinc finger protein ZIC 1 (Zinc finger protein of the cerebellum 1)	Zic1 Zic	Mus musculus (Mouse)	447
O88470	O88470	FOXL2_MOUSE	reviewed	Forkhead box protein L2 (Pituitary forkhead factor) (P-Frk)	Foxl2 Pfrk	Mus musculus (Mouse)	375
Q9R190	Q9R190	MTA2_MOUSE	reviewed	Metastasis-associated protein MTA2 (Metastasis-associated 1-like 1)	Mta2 Mta1l1	Mus musculus (Mouse)	668
Q62520	Q62520	ZIC2_MOUSE	reviewed	Zinc finger protein ZIC 2 (Zinc finger protein of the cerebellum 2)	Zic2	Mus musculus (Mouse)	530
P97469	P97469	SNAI2_MOUSE	reviewed	Zinc finger protein SNAI2 (Neural crest transcription factor Slug) (Protein snail homolog 2)	Snai2 Slug Slugh	Mus musculus (Mouse)	269
Q9QZW9	Q9QZW9	MNX1_MOUSE	reviewed	Motor neuron and pancreas homeobox protein 1 (Homeobox protein HB9)	Mnx1 Hlxb9	Mus musculus (Mouse)	404
Q96EQ9	Q96EQ9	PRDM9_MOUSE	reviewed	Histone-lysine N-methyltransferase PRDM9 (Hybrid sterility protein 1) (Meiosis-induced factor containing a PR/SET domain and zinc-finger motif) (PR domain zinc finger protein 9) (PR domain-containing protein 9) (Protein-lysine N-methyltransferase PRDM9) (EC 2.1.1.-) ([histone H3]-lysine36 N-trimethyltransferase PRDM9) (EC 2.1.1.359) ([histone H3]-lysine4 N-trimethyltransferase PRDM9) (EC 2.1.1.354) ([histone H3]-lysine9 N-trimethyltransferase PRDM9) (EC 2.1.1.355) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.361)	Prdm9 Hst1 Meisetz	Mus musculus (Mouse)	843
P42586	P42586	NKX22_MOUSE	reviewed	Homeobox protein Nkx-2.2 (Homeobox protein NK-2 homolog B)	Nkx2-2 Nkx-2.2 Nkx2b	Mus musculus (Mouse)	273
Q9Z248	Q9Z248	AEBP2_MOUSE	reviewed	Zinc finger protein AEBP2 (Adipocyte enhancer-binding protein 2) (AE-binding protein 2)	Aebp2	Mus musculus (Mouse)	504
P70434	P70434	IRF7_MOUSE	reviewed	Interferon regulatory factor 7 (IRF-7)	Irf7	Mus musculus (Mouse)	457
Q8C7R7	Q8C7R7	RFX6_MOUSE	reviewed	DNA-binding protein RFX6 (Regulatory factor X 6) (Regulatory factor X domain-containing protein 1)	Rfx6 Rfxdc1	Mus musculus (Mouse)	927
P70447	P70447	NGN2_MOUSE	reviewed	Neurogenin-2 (NGN-2) (Helix-loop-helix protein mATH-4A) (mATH4A) (Protein atonal homolog 4)	Neurog2 Ath4a Atoh4 Ngn2	Mus musculus (Mouse)	263
P52927	P52927	HMGA2_MOUSE	reviewed	High mobility group protein HMGI-C (High mobility group AT-hook protein 2)	Hmga2 Hmgic	Mus musculus (Mouse)	108
A2A935	A2A935	PRD16_MOUSE	reviewed	Histone-lysine N-methyltransferase PRDM16 (EC 2.1.1.367) (PR domain zinc finger protein 16) (PR domain-containing protein 16) (Transcription factor MEL1) (MDS1/EVI1-like gene 1)	Prdm16 Kiaa1675 Mel1	Mus musculus (Mouse)	1275
Q99ME7	Q99ME7	TBX19_MOUSE	reviewed	T-box transcription factor TBX19 (T-box protein 19) (T-box factor, pituitary)	Tbx19 Tpit	Mus musculus (Mouse)	446
Q62414	Q62414	NDF2_MOUSE	reviewed	Neurogenic differentiation factor 2 (NeuroD2) (NeuroD-related factor) (NDRF)	Neurod2 Ndrf	Mus musculus (Mouse)	383
Q9QZ59	Q9QZ59	DMRT1_MOUSE	reviewed	Doublesex- and mab-3-related transcription factor 1	Dmrt1	Mus musculus (Mouse)	374
A2BH40	A2BH40	ARI1A_MOUSE	reviewed	AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1)	Arid1a Baf250 Baf250a Osa1 Smarcf1	Mus musculus (Mouse)	2283
P12813	P12813	NR4A1_MOUSE	reviewed	Nuclear receptor subfamily 4 group A member 1 (Nuclear hormone receptor NUR/77) (Nuclear protein N10) (Orphan nuclear receptor HMR)	Nr4a1 Gfrp Hmr N10 Nur77	Mus musculus (Mouse)	601
Q3U0X6	Q3U0X6	Q3U0X6_MOUSE	unreviewed	Zinc finger protein 217	Zfp217	Mus musculus (Mouse)	1041
Q8K5C0	Q8K5C0	GRHL2_MOUSE	reviewed	Grainyhead-like protein 2 homolog (Brother of mammalian grainyhead) (Transcription factor CP2-like 3)	Grhl2 Bom Tcfcp2l3	Mus musculus (Mouse)	625
Q60611	Q60611	SATB1_MOUSE	reviewed	DNA-binding protein SATB1 (Special AT-rich sequence-binding protein 1)	Satb1	Mus musculus (Mouse)	764
Q8CFN5	Q8CFN5	MEF2C_MOUSE	reviewed	Myocyte-specific enhancer factor 2C (Myocyte enhancer factor 2C)	Mef2c	Mus musculus (Mouse)	474
Q9D275	Q9D275	BATF3_MOUSE	reviewed	Basic leucine zipper transcriptional factor ATF-like 3 (B-ATF-3)	Batf3	Mus musculus (Mouse)	118
Q61321	Q61321	SIX4_MOUSE	reviewed	Homeobox protein SIX4 (Sine oculis homeobox homolog 4) (Skeletal muscle-specific ARE-binding protein AREC3)	Six4 Arec3	Mus musculus (Mouse)	775
Q8R1H0	Q8R1H0	HOP_MOUSE	reviewed	Homeodomain-only protein (Homeobox-only protein) (Odd homeobox protein 1) (mOB1)	Hopx Hod Hop Ob1	Mus musculus (Mouse)	73
Q8BSQ9	Q8BSQ9	PB1_MOUSE	reviewed	Protein polybromo-1 (BRG1-associated factor 180) (BAF180)	Pbrm1 Baf180 Pb1	Mus musculus (Mouse)	1634
P48379	P48379	RFX2_MOUSE	reviewed	DNA-binding protein RFX2 (Regulatory factor X 2)	Rfx2	Mus musculus (Mouse)	717
Q8VI24	Q8VI24	SATB2_MOUSE	reviewed	DNA-binding protein SATB2 (Special AT-rich sequence-binding protein 2)	Satb2 Kiaa1034	Mus musculus (Mouse)	733
P97496	P97496	SMRC1_MOUSE	reviewed	SWI/SNF complex subunit SMARCC1 (BRG1-associated factor 155) (SWI/SNF complex 155 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 1) (SWI3-related protein) (BAF155)	Smarcc1 Baf155 Srg3	Mus musculus (Mouse)	1104
Q9ER42	Q9ER42	BARX1_MOUSE	reviewed	Homeobox protein BarH-like 1	Barx1	Mus musculus (Mouse)	254
P33242	P33242	STF1_MOUSE	reviewed	Steroidogenic factor 1 (SF-1) (STF-1) (Adrenal 4-binding protein) (Embryonal LTR-binding protein) (ELP) (Embryonal long terminal repeat-binding protein) (Fushi tarazu factor homolog 1) (Nuclear receptor subfamily 5 group A member 1) (Steroid hormone receptor Ad4BP) (Steroid hydroxylase positive regulator)	Nr5a1 Ftzf1	Mus musculus (Mouse)	462
Q8CHK4	Q8CHK4	KAT5_MOUSE	reviewed	Histone acetyltransferase KAT5 (EC 2.3.1.48) (60 kDa Tat-interactive protein) (Tip60) (Histone acetyltransferase HTATIP) (Lysine acetyltransferase 5)	Kat5 Htatip Tip60	Mus musculus (Mouse)	513
Q8BW74	Q8BW74	HLF_MOUSE	reviewed	Hepatic leukemia factor	Hlf	Mus musculus (Mouse)	295
P31361	P31361	PO3F3_MOUSE	reviewed	POU domain, class 3, transcription factor 3 (Brain-specific homeobox/POU domain protein 1) (Brain-1) (Brn-1) (Octamer-binding protein 8) (Oct-8) (Octamer-binding transcription factor 8) (OTF-8)	Pou3f3 Brn-1 Brn1 Otf8	Mus musculus (Mouse)	497
Q04888	Q04888	SOX10_MOUSE	reviewed	Transcription factor SOX-10 (Protein SOX-21) (Transcription factor SOX-M)	Sox10 Sox-10 Sox21	Mus musculus (Mouse)	466
Q9Z2F6	Q9Z2F6	BCL3_MOUSE	reviewed	B-cell lymphoma 3 protein homolog (BCL-3)	Bcl3	Mus musculus (Mouse)	448
P70390	P70390	SHOX2_MOUSE	reviewed	Short stature homeobox protein 2 (Homeobox protein Og12X) (OG-12) (Paired family homeodomain protein Prx3)	Shox2 Og12x Prx3	Mus musculus (Mouse)	331
P63006	P63006	LHX1_MOUSE	reviewed	LIM/homeobox protein Lhx1 (LIM homeobox protein 1) (Homeobox protein Lim-1)	Lhx1 Lim-1 Lim1	Mus musculus (Mouse)	406
P52946	P52946	PDX1_MOUSE	reviewed	Pancreas/duodenum homeobox protein 1 (Insulin promoter factor 1) (IPF-1) (Islet/duodenum homeobox 1) (IDX-1) (Somatostatin-transactivating factor 1) (STF-1)	Pdx1 Ipf1	Mus musculus (Mouse)	284
Q0VGT2	Q0VGT2	GLI2_MOUSE	reviewed	Zinc finger protein GLI2 (Tax helper protein)	Gli2 Thp	Mus musculus (Mouse)	1544
P27889	P27889	HNF1B_MOUSE	reviewed	Hepatocyte nuclear factor 1-beta (HNF-1-beta) (HNF-1B) (Homeoprotein LFB3) (Transcription factor 2) (TCF-2)	Hnf1b Hnf-1b Tcf2	Mus musculus (Mouse)	558
Q64336	Q64336	TBR1_MOUSE	reviewed	T-box brain protein 1 (T-brain-1) (TBR-1) (TES-56)	Tbr1	Mus musculus (Mouse)	681
P48381	P48381	RFX3_MOUSE	reviewed	Transcription factor RFX3 (Regulatory factor X 3)	Rfx3	Mus musculus (Mouse)	749
Q6XP49	Q6XP49	GLIS3_MOUSE	reviewed	Zinc finger protein GLIS3 (GLI-similar 3)	Glis3	Mus musculus (Mouse)	780
Q60795	Q60795	NF2L2_MOUSE	reviewed	Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nuclear factor, erythroid derived 2, like 2)	Nfe2l2 Nrf2	Mus musculus (Mouse)	597
Q9JHX2	Q9JHX2	SP5_MOUSE	reviewed	Transcription factor Sp5	Sp5	Mus musculus (Mouse)	398
P81183	P81183	IKZF2_MOUSE	reviewed	Zinc finger protein Helios (Ikaros family zinc finger protein 2)	Ikzf2 Helios Zfpn1a2 Znfn1a2	Mus musculus (Mouse)	526
Q3UQ17	Q3UQ17	Q3UQ17_MOUSE	unreviewed	Zinc finger and BTB domain-containing 16	Zbtb16	Mus musculus (Mouse)	673
P83870	P83870	PHF5A_MOUSE	reviewed	PHD finger-like domain-containing protein 5A (PHD finger-like domain protein 5A) (Splicing factor 3B-associated 14 kDa protein) (SF3b14b)	Phf5a	Mus musculus (Mouse)	110
Q60641	Q60641	NR1H4_MOUSE	reviewed	Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)	Nr1h4 Bar Fxr Rip14	Mus musculus (Mouse)	488
Q9EPW2	Q9EPW2	KLF15_MOUSE	reviewed	Krueppel-like factor 15 (Cardiovascular Krueppel-like factor)	Klf15 Cklf	Mus musculus (Mouse)	415
P43120	P43120	HHEX_MOUSE	reviewed	Hematopoietically-expressed homeobox protein Hhex (Homeobox protein HEX) (mHex) (Homeobox protein PRH)	Hhex Prh Prhx	Mus musculus (Mouse)	271
E9QAG8	E9QAG8	ZN431_MOUSE	reviewed	Zinc finger protein 431 (Zinc finger protein 932)	Znf431 Zfp431 Zfp932	Mus musculus (Mouse)	526
Q8QZW2	Q8QZW2	FEV_MOUSE	reviewed	Protein FEV (PC12 ETS domain-containing transcription factor 1) (PC12 ETS factor 1) (Pet-1) (mPet-1)	Fev Pet1	Mus musculus (Mouse)	237
Q9JJD0	Q9JJD0	THA11_MOUSE	reviewed	THAP domain-containing protein 11 (Ronin)	Thap11 MNCb-2032	Mus musculus (Mouse)	305
Q62227	Q62227	NR0B2_MOUSE	reviewed	Nuclear receptor subfamily 0 group B member 2 (Orphan nuclear receptor SHP) (Small heterodimer partner)	Nr0b2 Shp	Mus musculus (Mouse)	260
P53568	P53568	CEBPG_MOUSE	reviewed	CCAAT/enhancer-binding protein gamma (C/EBP gamma) (Granulocyte colony-stimulating factor promoter element 1-binding protein) (GPE1-BP) (GPE1-binding protein) (Immunoglobulin enhancer-binding protein 1) (IG/EBP-1)	Cebpg	Mus musculus (Mouse)	150
Q61575	Q61575	FOXN1_MOUSE	reviewed	Forkhead box protein N1 (Hepatocyte nuclear factor 3 forkhead homolog 11) (HFH-11) (HNF-3/forkhead homolog 11) (Winged-helix transcription factor nude)	Foxn1 Fkh19 Hfh11 Whn	Mus musculus (Mouse)	648
P54841	P54841	MAFB_MOUSE	reviewed	Transcription factor MafB (Maf-B) (Kreisler) (Segmentation protein Kr) (Transcription factor Maf-1) (V-maf musculoaponeurotic fibrosarcoma oncogene homolog B)	Mafb Krml Maf1	Mus musculus (Mouse)	323
Q8VI67	Q8VI67	SP7_MOUSE	reviewed	Transcription factor Sp7 (C22) (Zinc finger protein osterix)	Sp7 Osx	Mus musculus (Mouse)	428
P70396	P70396	DLX5_MOUSE	reviewed	Homeobox protein DLX-5	Dlx5	Mus musculus (Mouse)	289
O88286	O88286	WIZ_MOUSE	reviewed	Protein Wiz (Widely-interspaced zinc finger-containing protein)	Wiz	Mus musculus (Mouse)	1684
P97458	P97458	PROP1_MOUSE	reviewed	Homeobox protein prophet of Pit-1 (PROP-1) (Pituitary-specific homeodomain factor)	Prop1 Prop-1	Mus musculus (Mouse)	223
P35428	P35428	HES1_MOUSE	reviewed	Transcription factor HES-1 (Hairy and enhancer of split 1)	Hes1 Hes-1	Mus musculus (Mouse)	282
O54790	O54790	MAFG_MOUSE	reviewed	Transcription factor MafG (V-maf musculoaponeurotic fibrosarcoma oncogene homolog G)	Mafg	Mus musculus (Mouse)	162
P35584	P35584	FOXA3_MOUSE	reviewed	Hepatocyte nuclear factor 3-gamma (HNF-3-gamma) (HNF-3G) (Forkhead box protein A3)	Foxa3 Hnf3g Tcf-3g Tcf3g	Mus musculus (Mouse)	353
P13864	P13864	DNMT1_MOUSE	reviewed	DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (Met-1) (EC 2.1.1.37) (DNA methyltransferase MmuI) (DNA MTase MmuI) (M.MmuI) (MCMT)	Dnmt1 Dnmt Met1 Uim	Mus musculus (Mouse)	1620
Q61080	Q61080	FOXF1_MOUSE	reviewed	Forkhead box protein F1 (Forkhead-related protein FKHL5) (Forkhead-related transcription factor 1) (FREAC-1) (Hepatocyte nuclear factor 3 forkhead homolog 8) (HFH-8)	Foxf1 Fkhl5 Foxf1a Freac1 Hfh8	Mus musculus (Mouse)	378
P62340	P62340	TBPL1_MOUSE	reviewed	TATA box-binding protein-like 1 (TBP-like 1) (21 kDa TBP-like protein) (TATA box-binding protein-related factor 2) (TBP-related factor 2) (TBP-like factor) (TBP-related protein)	Tbpl1 Tlf Tlp Tlp21 Trf2 Trp	Mus musculus (Mouse)	186
P70323	P70323	TBX1_MOUSE	reviewed	T-box transcription factor TBX1 (T-box protein 1) (Testis-specific T-box protein)	Tbx1	Mus musculus (Mouse)	479
Q3TTC2	Q3TTC2	TYY2_MOUSE	reviewed	Transcription factor YY2 (Yin and yang 2) (YY-2)	Yy2	Mus musculus (Mouse)	378
Q99LI5	Q99LI5	ZN281_MOUSE	reviewed	Zinc finger protein 281	Znf281 Zfp281	Mus musculus (Mouse)	893
P43345	P43345	TLX1_MOUSE	reviewed	T-cell leukemia homeobox protein 1 (Homeobox TLX-1) (Homeobox protein Hox-11)	Tlx1 Hox11 Tlx-1	Mus musculus (Mouse)	332
Q7TS63	Q7TS63	ZFAT_MOUSE	reviewed	Zinc finger protein ZFAT (Zinc finger protein 406)	Zfat Gm922 Zfat1 Zfp406 Znf406	Mus musculus (Mouse)	1237
Q61412	Q61412	VSX2_MOUSE	reviewed	Visual system homeobox 2 (Ceh-10 homeodomain-containing homolog) (Homeobox protein CHX10)	Vsx2 Chx10	Mus musculus (Mouse)	361
Q9R1R0	Q9R1R0	LHX6_MOUSE	reviewed	LIM/homeobox protein Lhx6 (LIM homeobox protein 6) (LIM/homeobox protein Lhx6.1)	Lhx6 Lhx6.1	Mus musculus (Mouse)	363
Q9QYC3	Q9QYC3	BHA15_MOUSE	reviewed	Class A basic helix-loop-helix protein 15 (bHLHa15) (Class B basic helix-loop-helix protein 8) (bHLHb8) (Muscle, intestine and stomach expression 1) (MIST-1)	Bhlha15 Bhlhb8 Mist1	Mus musculus (Mouse)	197
P30051	P30051	TEAD1_MOUSE	reviewed	Transcriptional enhancer factor TEF-1 (NTEF-1) (Protein GT-IIC) (TEA domain family member 1) (TEAD-1) (Transcription factor 13) (TCF-13)	Tead1 Tcf13 Tef-1 Tef1	Mus musculus (Mouse)	426
Q64HY3	Q64HY3	SP9_MOUSE	reviewed	Transcription factor Sp9	Sp9	Mus musculus (Mouse)	484
P13346	P13346	FOSB_MOUSE	reviewed	Protein fosB	Fosb	Mus musculus (Mouse)	338
P35710	P35710	SOX5_MOUSE	reviewed	Transcription factor SOX-5	Sox5 Sox-5	Mus musculus (Mouse)	763
P70120	P70120	HES5_MOUSE	reviewed	Transcription factor HES-5 (Hairy and enhancer of split 5)	Hes5 Hes-5	Mus musculus (Mouse)	167
Q9QZQ0	Q9QZQ0	NPAS3_MOUSE	reviewed	Neuronal PAS domain-containing protein 3 (Neuronal PAS3) (Basic-helix-loop-helix-PAS protein MOP6) (Member of PAS protein 6)	Npas3 Mop6	Mus musculus (Mouse)	925
Q61039	Q61039	HAND2_MOUSE	reviewed	Heart- and neural crest derivatives-expressed protein 2 (Deciduum, heart, autonomic nervous system and neural crest derivatives-expressed protein 2) (dHAND) (Helix-loop-helix transcription factor expressed in embryo and deciduum) (Thing-2)	Hand2 Dhand Hed Thing2	Mus musculus (Mouse)	217
Q6PZD9	Q6PZD9	CEBPE_MOUSE	reviewed	CCAAT/enhancer-binding protein epsilon (C/EBP epsilon)	Cebpe Gm294	Mus musculus (Mouse)	281
O08792	O08792	COE2_MOUSE	reviewed	Transcription factor COE2 (Early B-cell factor 2) (EBF-2) (Metencephalon-mesencephalon-olfactory transcription factor 1) (MET-mesencephalon-olfactory TF1) (MET-mesencephalon-olfactory transcription factor 1) (Olf-1/EBF-like 3) (O/E-3) (OE-3)	Ebf2 Coe2 Mmot1	Mus musculus (Mouse)	575
Q6XBJ3	Q6XBJ3	ONEC2_MOUSE	reviewed	One cut domain family member 2 (One cut homeobox 2) (Transcription factor ONECUT-2) (OC-2)	Onecut2 Oc2	Mus musculus (Mouse)	505
Q62424	Q62424	HXA13_MOUSE	reviewed	Homeobox protein Hox-A13 (Homeobox protein Hox-1.10)	Hoxa13 Hox-1.10	Mus musculus (Mouse)	386
P70217	P70217	HXD13_MOUSE	reviewed	Homeobox protein Hox-D13 (Homeobox protein Hox-4.8)	Hoxd13 Hox-4.8	Mus musculus (Mouse)	339
Q02780	Q02780	NFIA_MOUSE	reviewed	Nuclear factor 1 A-type (NF1-A) (Nuclear factor 1/A) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/A) (NF-I/A) (NFI-A) (TGGCA-binding protein)	Nfia	Mus musculus (Mouse)	532
O88609	O88609	LMX1B_MOUSE	reviewed	LIM homeobox transcription factor 1-beta (LIM/homeobox protein 1.2) (LMX-1.2) (LIM/homeobox protein LMX1B)	Lmx1b	Mus musculus (Mouse)	395
A2CG63	A2CG63	ARI4B_MOUSE	reviewed	AT-rich interactive domain-containing protein 4B (ARID domain-containing protein 4B) (180 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p180) (Histone deacetylase complex subunit SAP180)	Arid4b Sap180	Mus musculus (Mouse)	1314
O35426	O35426	XBP1_MOUSE	reviewed	X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5) (TREB-5) [Cleaved into: X-box-binding protein 1, cytoplasmic form; X-box-binding protein 1, luminal form]	Xbp1 Treb5	Mus musculus (Mouse)	267
Q8CHW1	Q8CHW1	THAP1_MOUSE	reviewed	THAP domain-containing protein 1	Thap1	Mus musculus (Mouse)	210
P97302	P97302	BACH1_MOUSE	reviewed	Transcription regulator protein BACH1 (BTB and CNC homolog 1)	Bach1	Mus musculus (Mouse)	739
Q9Z2U4	Q9Z2U4	ELF4_MOUSE	reviewed	ETS-related transcription factor Elf-4 (E74-like factor 4) (Myeloid Elf-1-like factor)	Elf4 Mef	Mus musculus (Mouse)	655
Q61985	Q61985	NF2L1_MOUSE	reviewed	Endoplasmic reticulum membrane sensor NFE2L1 (Locus control region-factor 1) (LCR-F1) (Nuclear factor erythroid 2-related factor 1) (NF-E2-related factor 1) (NFE2-related factor 1) (Nuclear factor, erythroid derived 2, like 1) [Cleaved into: Transcription factor NRF1]	Nfe2l1 Nrf1	Mus musculus (Mouse)	741
P28322	P28322	ETV4_MOUSE	reviewed	ETS translocation variant 4 (Polyomavirus enhancer activator 3) (Protein PEA3)	Etv4 Pea-3 Pea3	Mus musculus (Mouse)	485
